STATIONS_ID;MESS_DATUM;QN_4;TT_TER;RF_TER;eor
       4336;2024090912;    9;   17.2;  75.0;eor
       4336;2024090918;    9;   15.3;  92.0;eor
       4336;2024091006;    9;   12.4;  96.0;eor
       4336;2024091012;    9;   15.6;  73.0;eor
       4336;2024091018;    9;   14.2;  72.0;eor
       4336;2024091106;    9;   12.0;  96.0;eor
       4336;2024091112;    9;   11.7;  82.0;eor
       4336;2024091118;    9;   11.2;  79.0;eor
       4336;2024091206;    9;    7.9;  94.0;eor
       4336;2024091212;    9;   12.1;  61.0;eor
       4336;2024091218;    9;   10.7;  67.0;eor
       4336;2024091306;    9;    6.4;  94.0;eor
       4336;2024091312;    9;   12.7;  62.0;eor
       4336;2024091318;    9;   10.6;  82.0;eor
       4336;2024091406;    9;    5.9;  93.0;eor
       4336;2024091412;    9;   14.1;  53.0;eor
       4336;2024091418;    9;   11.1;  79.0;eor
       4336;2024091506;    9;    4.1;  97.0;eor
       4336;2024091512;    9;   14.1;  56.0;eor
       4336;2024091518;    9;   12.6;  72.0;eor
       4336;2024091606;    9;   12.1;  82.0;eor
       4336;2024091612;    9;   14.8;  78.0;eor
       4336;2024091618;    9;   14.5;  77.0;eor
       4336;2024091706;    9;   13.4;  79.0;eor
       4336;2024091712;    9;   17.4;  70.0;eor
       4336;2024091718;    9;   17.0;  74.0;eor
       4336;2024091806;    9;   14.4;  88.0;eor
       4336;2024091812;    9;   21.5;  58.0;eor
       4336;2024091818;    9;   19.3;  57.0;eor
       4336;2024091906;    9;   14.2;  79.0;eor
       4336;2024091912;    9;   22.3;  50.0;eor
       4336;2024091918;    9;   17.8;  59.0;eor
       4336;2024092006;    9;   11.2;  87.0;eor
       4336;2024092012;    9;   20.5;  60.0;eor
       4336;2024092018;    9;   16.5;  75.0;eor
       4336;2024092106;    9;   12.2;  86.0;eor
       4336;2024092112;    9;   21.9;  57.0;eor
       4336;2024092118;    9;   17.7;  74.0;eor
       4336;2024092206;    9;   11.5;  95.0;eor
       4336;2024092212;    9;   19.4;  68.0;eor
       4336;2024092218;    9;   17.4;  86.0;eor
       4336;2024092306;    9;   14.3;  93.0;eor
       4336;2024092312;    9;   18.0;  61.0;eor
       4336;2024092318;    9;   14.6;  84.0;eor
       4336;2024092406;    9;   12.7;  91.0;eor
       4336;2024092412;    9;   14.6;  79.0;eor
       4336;2024092418;    9;   13.4;  91.0;eor
       4336;2024092506;    9;   13.0;  93.0;eor
       4336;2024092512;    9;   15.3;  83.0;eor
       4336;2024092518;    9;   14.5;  84.0;eor
       4336;2024092606;    9;   15.8;  93.0;eor
       4336;2024092612;    9;   16.2;  95.0;eor
       4336;2024092618;    9;   14.9;  91.0;eor
       4336;2024092706;    9;   11.4;  91.0;eor
       4336;2024092712;    9;   14.3;  68.0;eor
       4336;2024092718;    9;   12.6;  75.0;eor
       4336;2024092806;    9;    9.1;  95.0;eor
       4336;2024092812;    9;   12.9;  65.0;eor
       4336;2024092818;    9;    8.8;  80.0;eor
       4336;2024092906;    9;    3.4;  98.0;eor
       4336;2024092912;    9;   12.6;  62.0;eor
